N,P,K,pH,Humidity,Temperature,Rainfall,CropYield,District,SoilType,CropName
95,47,65,5.6,83,22,1600,1900,Howrah,Alluvial Soil,Sugarcane
110,55,80,6.3,77,26,1900,2200,Howrah,Alluvial Soil,Sugarcane
60,30,40,5.9,79,25,1600,1200,Howrah,Alluvial Soil,Potato
58,29,38,5.8,80,24,1500,1150,Howrah,Alluvial Soil,Potato
62,31,42,6.2,76,26,1700,1300,Howrah,Alluvial Soil,Potato
55,28,35,5.6,82,23,1400,1100,Howrah,Alluvial Soil,Potato
65,32,45,6.3,75,27,1800,1400,Howrah,Alluvial Soil,Potato
80,40,60,5.5,81,23,1200,500,Howrah,Alluvial Soil,Jute
78,39,58,5.6,80,24,1300,480,Howrah,Alluvial Soil,Jute
82,41,62,5.8,78,25,1400,550,Howrah,Alluvial Soil,Jute
76,38,56,5.3,82,22,1100,450,Howrah,Alluvial Soil,Jute
85,42,65,6,77,26,1500,600,Howrah,Alluvial Soil,Jute
50,25,35,5.9,79,25,1600,900,Howrah,Alluvial Soil,Maize
48,24,32,5.8,80,24,1500,850,Howrah,Alluvial Soil,Maize
52,26,38,6.2,76,26,1700,950,Howrah,Alluvial Soil,Maize
45,22,30,5.6,82,23,1400,800,Howrah,Alluvial Soil,Maize
55,28,40,6.3,75,27,1800,1050,Howrah,Alluvial Soil,Maize
30,15,22,5.7,80,24,1300,400,Howrah,Alluvial Soil,Pulses
28,14,20,5.5,82,23,1200,380,Howrah,Alluvial Soil,Pulses
32,16,24,6,77,26,1400,450,Howrah,Alluvial Soil,Pulses
26,13,18,5.4,83,22,1100,350,Howrah,Alluvial Soil,Pulses
35,18,28,6.2,75,27,1500,500,Howrah,Alluvial Soil,Pulses
40,20,30,5.5,81,23,1200,500,Howrah,Alluvial Soil,Mustard
38,19,28,5.6,80,24,1300,480,Howrah,Alluvial Soil,Mustard
42,21,32,5.8,78,25,1400,550,Howrah,Alluvial Soil,Mustard
36,18,26,5.3,82,22,1100,450,Howrah,Alluvial Soil,Mustard
45,22,35,6,77,26,1500,600,Howrah,Alluvial Soil,Mustard
85,42,58,6,78,25,1600,1900,Howrah,Alluvial Soil,Wheat
80,40,55,5.8,80,24,1500,1800,Howrah,Alluvial Soil,Wheat
90,45,60,6.2,76,26,1700,2000,Howrah,Alluvial Soil,Wheat
75,38,52,5.5,82,23,1400,1700,Howrah,Alluvial Soil,Wheat
95,48,65,6.3,75,27,1800,2100,Howrah,Alluvial Soil,Wheat
80,40,50,5.9,79,25,1600,900,Jhargram,Laterite Soil,Tapioca (Cassava)
78,38,48,5.8,80,24,1500,850,Jhargram,Laterite Soil,Tapioca (Cassava)
82,42,55,6.2,76,26,1700,1000,Jhargram,Laterite Soil,Tapioca (Cassava)
75,37,45,5.6,82,23,1400,800,Jhargram,Laterite Soil,Tapioca (Cassava)
85,43,60,6.3,75,27,1800,1100,Jhargram,Laterite Soil,Tapioca (Cassava)
90,45,60,5.9,79,25,1600,1200,Jhargram,Laterite Soil,Rubber
88,44,58,5.8,80,24,1500,1150,Jhargram,Laterite Soil,Rubber
92,46,62,6.2,76,26,1700,1300,Jhargram,Laterite Soil,Rubber
85,42,55,5.6,82,23,1400,1100,Jhargram,Laterite Soil,Rubber
95,48,65,6.3,75,27,1800,1400,Jhargram,Laterite Soil,Rubber
50,25,35,5.9,79,25,1600,700,Jhargram,Laterite Soil,Cashew
48,24,32,5.8,80,24,1500,650,Jhargram,Laterite Soil,Cashew
52,26,38,6.2,76,26,1700,750,Jhargram,Laterite Soil,Cashew
45,22,30,5.6,82,23,1400,600,Jhargram,Laterite Soil,Cashew
55,28,40,6.3,75,27,1800,800,Jhargram,Laterite Soil,Cashew
20,10,15,5.9,78,25,1600,300,Jhargram,Laterite Soil,Pulses (Green Gram)
18,9,14,5.8,80,24,1500,275,Jhargram,Laterite Soil,Pulses (Green Gram)
22,11,16,6.2,76,26,1700,325,Jhargram,Laterite Soil,Pulses (Green Gram)
16,8,12,5.6,82,23,1400,250,Jhargram,Laterite Soil,Pulses (Green Gram)
25,12,18,6.3,75,27,1800,350,Jhargram,Laterite Soil,Pulses (Green Gram)
35,15,25,5.9,79,25,1600,600,Jhargram,Laterite Soil,Pearl Millet (Bajra)
32,14,22,5.8,80,24,1500,550,Jhargram,Laterite Soil,Pearl Millet (Bajra)
38,17,28,6.2,76,26,1700,650,Jhargram,Laterite Soil,Pearl Millet (Bajra)
30,13,20,5.6,82,23,1400,500,Jhargram,Laterite Soil,Pearl Millet (Bajra)
40,18,30,6.3,75,27,1800,700,Jhargram,Laterite Soil,Pearl Millet (Bajra)
40,20,30,5.9,78,25,1600,800,Jhargram,Laterite Soil,Sorghum (Jowar)
38,19,28,5.8,80,24,1500,750,Jhargram,Laterite Soil,Sorghum (Jowar)
42,21,32,6.2,76,26,1700,900,Jhargram,Laterite Soil,Sorghum (Jowar)
36,18,26,5.6,82,23,1400,700,Jhargram,Laterite Soil,Sorghum (Jowar)
45,22,35,6.3,75,27,1800,950,Jhargram,Laterite Soil,Sorghum (Jowar)
55,28,40,5.9,79,25,1600,1050,Jhargram,Laterite Soil,Maize
52,26,38,5.8,80,24,1500,950,Jhargram,Laterite Soil,Maize
58,30,45,6.2,76,26,1700,1100,Jhargram,Laterite Soil,Maize
50,25,35,5.6,82,23,1400,900,Jhargram,Laterite Soil,Maize
60,32,50,6.3,75,27,1800,1200,Jhargram,Laterite Soil,Maize
45,22,30,5.9,79,25,1600,800,Jhargram,Laterite Soil,Rice
42,20,28,5.8,80,24,1500,750,Jhargram,Laterite Soil,Rice
48,24,32,6.2,76,26,1700,900,Jhargram,Laterite Soil,Rice
40,18,26,5.6,82,23,1400,700,Jhargram,Laterite Soil,Rice
50,26,35,6.3,75,27,1800,950,Jhargram,Laterite Soil,Rice
110,55,75,5.6,83,26,1880,2000,Malda,Red & Laterite Soil,Rice
108,52,72,5.6,83,26,1880,1950,Malda,Red & Laterite Soil,Rice
112,58,78,5.6,83,26,1880,2050,Malda,Red & Laterite Soil,Rice
106,50,70,5.6,83,26,1880,1900,Malda,Red & Laterite Soil,Rice
114,60,80,5.6,83,26,1880,2100,Malda,Red & Laterite Soil,Rice
75,38,50,5.8,80,28,1800,3500,Malda,Red & Laterite Soil,Maize
78,40,52,5.8,80,28,1800,3600,Malda,Red & Laterite Soil,Maize
72,36,48,5.8,80,28,1800,3400,Malda,Red & Laterite Soil,Maize
80,42,54,5.8,80,28,1800,3700,Malda,Red & Laterite Soil,Maize
76,39,51,5.8,80,28,1800,3550,Malda,Red & Laterite Soil,Maize
40,20,30,6.2,75,27,1600,800,Malda,Red & Laterite Soil,Pulses (Pigeon Pea)
42,22,32,6.2,75,27,1600,850,Malda,Red & Laterite Soil,Pulses (Black Gram)
38,18,28,6.2,75,27,1600,780,Malda,Red & Laterite Soil,Pulses (Mung Bean)
44,24,34,6.2,75,27,1600,900,Malda,Red & Laterite Soil,Pulses (Pigeon Pea)
41,21,31,6.2,75,27,1600,820,Malda,Red & Laterite Soil,Pulses (Black Gram)
45,23,33,6.2,75,27,1600,920,Malda,Red & Laterite Soil,Pulses (Mung Bean)
46,25,35,6.2,75,27,1600,950,Malda,Red & Laterite Soil,Pulses (Pigeon Pea)
43,22,32,6.2,75,27,1600,870,Malda,Red & Laterite Soil,Pulses (Black Gram)
39,19,29,6.2,75,27,1600,800,Malda,Red & Laterite Soil,Pulses (Mung Bean)
48,26,36,6.2,75,27,1600,980,Malda,Red & Laterite Soil,Pulses (Pigeon Pea)
60,30,40,5.7,82,25,1750,1200,Malda,Red & Laterite Soil,Sorghum (Jowar)
62,32,42,5.7,82,25,1750,1250,Malda,Red & Laterite Soil,Sorghum (Jowar)
58,28,38,5.7,82,25,1750,1150,Malda,Red & Laterite Soil,Sorghum (Jowar)
64,34,44,5.7,82,25,1750,1300,Malda,Red & Laterite Soil,Sorghum (Jowar)
59,29,39,5.7,82,25,1750,1170,Malda,Red & Laterite Soil,Sorghum (Jowar)
65,35,45,5.7,82,25,1750,1320,Malda,Red & Laterite Soil,Sorghum (Jowar)
61,31,41,5.7,82,25,1750,1220,Malda,Red & Laterite Soil,Sorghum (Jowar)
63,33,43,5.7,82,25,1750,1270,Malda,Red & Laterite Soil,Sorghum (Jowar)
57,27,37,5.7,82,25,1750,1100,Malda,Red & Laterite Soil,Sorghum (Jowar)
68,38,48,5.7,82,25,1750,1380,Malda,Red & Laterite Soil,Sorghum (Jowar)
45,25,35,6,78,26,1680,1500,Malda,Red & Laterite Soil,Groundnut
47,27,37,6,78,26,1680,1550,Malda,Red & Laterite Soil,Groundnut
43,23,33,6,78,26,1680,1450,Malda,Red & Laterite Soil,Groundnut
49,29,39,6,78,26,1680,1600,Malda,Red & Laterite Soil,Groundnut
46,26,36,6,78,26,1680,1520,Malda,Red & Laterite Soil,Groundnut
50,30,40,6,78,26,1680,1650,Malda,Red & Laterite Soil,Groundnut
48,28,38,6,78,26,1680,1580,Malda,Red & Laterite Soil,Groundnut
52,32,42,6,78,26,1680,1700,Malda,Red & Laterite Soil,Groundnut
44,24,34,6,78,26,1680,1480,Malda,Red & Laterite Soil,Groundnut
55,35,45,6,78,26,1680,1750,Malda,Red & Laterite Soil,Groundnut
80,40,60,5.8,85,23,1800,8000,Malda,Red & Laterite Soil,Sugarcane
82,42,62,5.8,85,23,1800,8200,Malda,Red & Laterite Soil,Sugarcane
78,38,58,5.8,85,23,1800,7800,Malda,Red & Laterite Soil,Sugarcane
84,44,64,5.8,85,23,1800,8400,Malda,Red & Laterite Soil,Sugarcane
79,39,59,5.8,85,23,1800,7900,Malda,Red & Laterite Soil,Sugarcane
40,20,30,5.5,78,24,1200,800,Purulia,Red Soil,Pearl Millet
45,25,35,5.7,80,26,1300,850,Purulia,Red Soil,Pearl Millet
38,18,28,5.3,76,23,1150,780,Purulia,Red Soil,Pearl Millet
42,22,32,5.6,79,25,1250,820,Purulia,Red Soil,Pearl Millet
37,17,27,5.2,75,22,1100,750,Purulia,Red Soil,Pearl Millet
35,15,25,5.8,80,23,1100,600,Purulia,Red Soil,Finger Millet
40,18,28,6,82,25,1200,650,Purulia,Red Soil,Finger Millet
32,12,22,5.6,78,24,1050,580,Purulia,Red Soil,Finger Millet
38,16,24,5.9,81,23,1150,620,Purulia,Red Soil,Finger Millet
30,10,20,5.5,77,22,1000,550,Purulia,Red Soil,Finger Millet
30,15,25,5.5,75,24,1000,500,Purulia,Red Soil,Sorghum (Jowar)
35,20,30,5.7,77,26,1100,550,Purulia,Red Soil,Sorghum (Jowar)
28,13,23,5.3,74,23,950,480,Purulia,Red Soil,Sorghum (Jowar)
32,18,27,5.6,76,25,1050,520,Purulia,Red Soil,Sorghum (Jowar)
26,12,22,5.2,73,22,900,450,Purulia,Red Soil,Sorghum (Jowar)
40,20,30,5.8,78,26,1200,900,Purulia,Red Soil,Groundnut
45,25,35,6,80,28,1300,950,Purulia,Red Soil,Groundnut
38,18,28,5.6,76,25,1150,870,Purulia,Red Soil,Groundnut
42,22,32,5.9,79,25,1250,920,Purulia,Red Soil,Groundnut
37,17,27,5.5,75,24,1100,850,Purulia,Red Soil,Groundnut
25,12,20,5.5,80,28,950,400,Purulia,Red Soil,Pigeon Pea
30,15,25,5.7,82,24,1000,420,Purulia,Red Soil,Pigeon Pea
22,10,18,5.3,78,26,900,380,Purulia,Red Soil,Pigeon Pea
28,14,22,5.6,81,23,980,400,Purulia,Red Soil,Pigeon Pea
20,8,16,5.2,77,25,850,350,Purulia,Red Soil,Pigeon Pea
50,20,30,5.8,82,28,1800,1380,Purulia,Red & Laterite Soil,Sorghum (Jowar)
55,22,33,5.8,82,28,1800,1420,Purulia,Red & Laterite Soil,Sorghum (Jowar)
48,18,28,5.8,82,28,1800,1350,Purulia,Red & Laterite Soil,Sorghum (Jowar)
58,24,36,5.8,82,28,1800,1450,Purulia,Red & Laterite Soil,Sorghum (Jowar)
52,21,32,5.8,82,28,1800,1400,Purulia,Red & Laterite Soil,Sorghum (Jowar)
25,12,20,5.5,80,28,950,400,Purulia,Red Soil,Mung Bean
30,15,25,5.7,82,24,1000,420,Purulia,Red Soil,Mung Bean
22,10,18,5.3,78,26,900,380,Purulia,Red Soil,Mung Bean
28,14,22,5.6,81,23,980,400,Purulia,Red Soil,Mung Bean
20,8,16,5.2,77,25,850,350,Purulia,Red Soil,Mung Bean
25,12,20,5.5,80,28,950,400,Purulia,Red Soil,Black Gram
30,15,25,5.7,82,24,1000,420,Purulia,Red Soil,Black Gram
22,10,18,5.3,78,26,900,380,Purulia,Red Soil,Black Gram
28,14,22,5.6,81,23,980,400,Purulia,Red Soil,Black Gram
20,8,16,5.2,77,25,850,350,Purulia,Red Soil,Black Gram
30,15,25,5.5,80,28,1000,700,Purulia,Red Soil,Tomatoes
35,20,30,5.7,82,24,1100,750,Purulia,Red Soil,Tomatoes
28,13,23,5.3,78,26,950,680,Purulia,Red Soil,Tomatoes
32,18,27,5.6,81,23,1050,720,Purulia,Red Soil,Tomatoes
26,12,22,5.2,77,25,900,670,Purulia,Red Soil,Tomatoes
35,18,28,5.8,78,26,1150,800,Purulia,Red Soil,Beans
40,23,33,6,80,28,1250,850,Purulia,Red Soil,Beans
32,15,25,5.6,76,25,1100,780,Purulia,Red Soil,Beans
37,20,30,5.9,79,25,1200,820,Purulia,Red Soil,Beans
30,13,23,5.5,75,24,1050,750,Purulia,Red Soil,Beans
45,27,38,5.8,82,28,1800,1400,Purulia,Red & Laterite Soil,Beans
50,30,42,5.8,82,28,1800,1450,Purulia,Red & Laterite Soil,Beans
42,24,34,5.8,82,28,1800,1350,Purulia,Red & Laterite Soil,Beans
48,29,39,5.8,82,28,1800,1420,Purulia,Red & Laterite Soil,Beans
40,22,32,5.8,82,28,1800,1300,Purulia,Red & Laterite Soil,Beans
50,25,35,6,85,28,1300,1000,Purulia,Red Soil,Mango
55,30,40,6.2,87,26,1400,1100,Purulia,Red Soil,Mango
48,23,33,5.8,83,27,1250,950,Purulia,Red Soil,Mango
52,28,38,6.1,86,25,1350,1050,Purulia,Red Soil,Mango
45,20,30,5.7,82,24,1200,900,Purulia,Red Soil,Mango
60,35,45,6.1,82,28,1800,1700,Purulia,Red & Laterite Soil,Mango
65,40,50,6.3,84,28,1900,1800,Purulia,Red & Laterite Soil,Mango
58,32,42,6,83,28,1800,1650,Purulia,Red & Laterite Soil,Mango
62,37,47,6.2,85,28,1800,1750,Purulia,Red & Laterite Soil,Mango
55,29,39,5.9,82,28,1800,1600,Purulia,Red & Laterite Soil,Mango
45,20,30,5.7,82,24,1200,900,Purulia,Red Soil,Guava
50,25,35,6,85,26,1300,950,Purulia,Red Soil,Guava
42,18,28,5.6,81,25,1150,870,Purulia,Red Soil,Guava
48,23,33,5.9,84,23,1250,920,Purulia,Red Soil,Guava
40,17,27,5.5,80,22,1100,850,Purulia,Red Soil,Guava
55,27,37,6,82,28,1800,1500,Purulia,Red & Laterite Soil,Guava
60,30,40,6.2,84,28,1900,1600,Purulia,Red & Laterite Soil,Guava
52,24,34,5.8,83,28,1800,1450,Purulia,Red & Laterite Soil,Guava
58,29,39,6.1,85,28,1800,1550,Purulia,Red & Laterite Soil,Guava
50,22,32,5.9,82,28,1800,1400,Purulia,Red & Laterite Soil,Guava
28,14,22,5.6,81,23,980,400,Purulia,Red Soil,Sesame
32,18,27,5.9,84,23,1050,420,Purulia,Red Soil,Sesame
25,12,20,5.5,80,24,950,380,Purulia,Red Soil,Sesame
30,15,25,5.8,83,22,1000,400,Purulia,Red Soil,Sesame
22,10,18,5.3,78,25,900,350,Purulia,Red Soil,Sesame
45,22,32,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
50,25,35,5.8,82,28,1800,750,Purulia,Red & Laterite Soil,Sesame
42,20,30,5.8,82,28,1800,680,Purulia,Red & Laterite Soil,Sesame
48,24,34,5.8,82,28,1800,720,Purulia,Red & Laterite Soil,Sesame
40,18,28,5.8,82,28,1800,670,Purulia,Red & Laterite Soil,Sesame
32,18,27,5.7,82,24,1050,500,Purulia,Red Soil,Sunflower
37,23,33,6,84,26,1150,550,Purulia,Red Soil,Sunflower
30,15,25,5.6,80,25,1000,480,Purulia,Red Soil,Sunflower
35,20,30,5.9,83,23,1100,520,Purulia,Red Soil,Sunflower
28,13,23,5.5,79,22,950,450,Purulia,Red Soil,Sunflower
45,25,35,5.8,82,28,1800,800,Purulia,Red & Laterite Soil,Sunflower
50,30,40,5.8,82,28,1800,850,Purulia,Red & Laterite Soil,Sunflower
42,22,32,5.8,82,28,1800,780,Purulia,Red & Laterite Soil,Sunflower
48,28,38,5.8,82,28,1800,820,Purulia,Red & Laterite Soil,Sunflower
40,20,30,5.8,82,28,1800,770,Purulia,Red & Laterite Soil,Sunflower
40,20,30,5.8,78,26,1200,600,Purulia,Red Soil,Cotton
45,25,35,6,80,28,1300,650,Purulia,Red Soil,Cotton
38,18,28,5.6,76,25,1150,580,Purulia,Red Soil,Cotton
42,22,32,5.9,79,25,1250,620,Purulia,Red Soil,Cotton
37,17,27,5.5,75,24,1100,550,Purulia,Red Soil,Cotton
50,28,38,5.8,82,28,800,900,Purulia,Red & Laterite Soil,Cotton
55,32,42,5.8,82,28,800,950,Purulia,Red & Laterite Soil,Cotton
48,24,34,5.8,82,28,800,880,Purulia,Red & Laterite Soil,Cotton
52,30,40,5.8,82,28,800,920,Purulia,Red & Laterite Soil,Cotton
45,22,32,5.8,82,28,800,850,Purulia,Red & Laterite Soil,Cotton
100,50,70,5.9,81,23,1750,2050,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
105,52,72,5.6,85,23,1800,2100,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
98,48,66,6,79,27,1700,2000,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
110,55,75,5.7,82,24,1700,1900,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
92,46,62,5.9,77,24,1550,1950,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
80,40,60,6.1,79,27,1600,1800,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Maize
85,42,55,6,76,25,1500,1900,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Maize
78,38,58,6.2,80,26,1550,1750,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Maize
82,40,62,6.3,78,28,1650,1700,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Maize
81,39,61,6.35,78.5,27.5,1625,1675,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Maize
90,45,65,6.1,79,27,1550,2000,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Wheat
95,48,60,6,82,25,1600,2100,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Wheat
88,42,58,6.2,78,26,1500,1900,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Wheat
92,46,62,6.3,80,28,1650,1950,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Wheat
85,40,60,6,77,24,1450,1800,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Wheat
50,25,40,6.5,85,23,1200,900,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Mustard
55,28,43,6.6,86,27,1250,950,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Mustard
48,22,38,6.4,83,26,1100,850,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Mustard
52,30,45,6.7,88,24,1300,800,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Mustard
45,20,35,6.9,89,24,1150,950,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Mustard
40,20,35,6.9,88,24,850,800,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Pigeon Pea
45,25,40,6.5,85,23,900,850,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Pigeon Pea
38,18,32,7.1,90,25,800,750,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Pigeon Pea
42,22,38,6.4,83,26,880,900,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Pigeon Pea
35,15,30,7.3,91,24,750,700,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Pigeon Pea
25,10,20,7.5,92,22,600,450,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Green Gram
28,12,22,7.4,91,21,650,500,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Green Gram
22,8,18,7.7,93,23,550,400,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Green Gram
30,15,25,7.2,89,20,700,550,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Green Gram
20,6,15,7.9,94,24,500,350,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Green Gram
22,10,18,7.8,93,23,600,400,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Black Gram
25,12,20,7.7,92,22,650,450,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Black Gram
20,8,15,8,94,24,550,350,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Black Gram
28,15,25,7.5,91,21,700,500,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Black Gram
18,6,12,8.2,95,25,500,300,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Black Gram
81,39,49,5.2,70,23,1755,1525,Cooch Behar,Sandy Soil,Pulses
86,43,53,5.3,72,24,1805,1585,Cooch Behar,Sandy Soil,Pulses
79,37,47,5.1,69,22,1685,1425,Cooch Behar,Sandy Soil,Pulses
91,45,55,5.4,73,25,1855,1665,Cooch Behar,Sandy Soil,Pulses
96,49,61,5.5,75,26,1925,1725,Cooch Behar,Sandy Soil,Pulses
82,40,50,5.2,71,23,1760,1530,Cooch Behar,Sandy Soil,Pulses
87,44,54,5.3,73,24,1810,1590,Cooch Behar,Sandy Soil,Pulses
80,38,48,5.1,70,22,1690,1430,Cooch Behar,Sandy Soil,Pulses
92,46,56,5.4,74,25,1860,1670,Cooch Behar,Sandy Soil,Pulses
97,50,62,5.6,76,27,1930,1730,Cooch Behar,Sandy Soil,Pulses
83,41,51,5.2,72,23,1765,1535,Cooch Behar,Sandy Soil,Pulses
91,44,60,6,80,27,1775,810,Bankura,Black Soil,Mango
96,49,66,6.1,79,28,1825,830,Bankura,Black Soil,Mango
89,43,59,6.2,82,25,1725,790,Bankura,Black Soil,Mango
93,47,63,5.9,81,24,1875,810,Bankura,Black Soil,Mango
99,51,69,6.3,78,26,1925,860,Bankura,Black Soil,Mango
90,45,62,6.1,80,27,1750,800,Bankura,Black Soil,Mango
95,48,65,6,79,28,1800,820,Bankura,Black Soil,Mango
88,42,58,6.2,82,25,1700,780,Bankura,Black Soil,Mango
92,46,62,5.9,81,24,1850,800,Bankura,Black Soil,Mango
98,50,68,6.3,78,26,1900,850,Bankura,Black Soil,Mango
91,44,60,6,80,27,1775,810,Bankura,Black Soil,Mango
118,59,79,5.8,82,26,1855,1760,Bankura,Black Soil,Potato
112,56,76,5.7,81,25,1825,1690,Bankura,Black Soil,Potato
123,61,83,6,80,23,1905,1810,Bankura,Black Soil,Potato
107,53,73,5.9,83,24,1755,1630,Bankura,Black Soil,Potato
117,58,78,5.6,85,26,1885,1710,Bankura,Black Soil,Potato
120,60,80,5.8,82,26,1850,1750,Bankura,Black Soil,Potato
110,55,75,5.7,81,25,1820,1680,Bankura,Black Soil,Potato
125,62,85,6,80,23,1900,1800,Bankura,Black Soil,Potato
105,52,72,5.9,83,24,1750,1620,Bankura,Black Soil,Potato
115,58,78,5.6,85,26,1880,1700,Bankura,Black Soil,Potato
118,59,79,5.8,82,26,1855,1760,Bankura,Black Soil,Potato
56,29,39,6.9,70,26,1510,1110,Bankura,Black Soil,Oilseeds
59,31,41,7.1,68,27,1560,1160,Bankura,Black Soil,Oilseeds
53,27,37,6.7,72,25,1460,1060,Bankura,Black Soil,Oilseeds
61,33,43,7.3,66,28,1610,1210,Bankura,Black Soil,Oilseeds
66,36,47,7.6,64,30,1660,1260,Bankura,Black Soil,Oilseeds
57,30,40,7,70,26,1520,1120,Bankura,Black Soil,Oilseeds
60,32,42,7.2,68,27,1570,1170,Bankura,Black Soil,Oilseeds
54,28,38,6.8,72,25,1470,1070,Bankura,Black Soil,Oilseeds
62,34,44,7.4,66,28,1620,1220,Bankura,Black Soil,Oilseeds
67,37,48,7.7,64,30,1670,1270,Bankura,Black Soil,Oilseeds
58,31,41,7,70,26,1530,1130,Bankura,Black Soil,Oilseeds
51,25,36,6,79,25,1610,910,Howrah,Alluvial Soil,Maize
49,24,33,5.9,80,24,1510,860,Howrah,Alluvial Soil,Maize
53,26,39,6.3,76,26,1710,960,Howrah,Alluvial Soil,Maize
46,23,31,5.7,82,23,1410,810,Howrah,Alluvial Soil,Maize
56,29,41,6.4,75,27,1810,1060,Howrah,Alluvial Soil,Maize
50,25,35,5.9,79,25,1605,905,Howrah,Alluvial Soil,Maize
48,24,32,5.8,80,24,1505,855,Howrah,Alluvial Soil,Maize
52,26,38,6.2,76,26,1705,955,Howrah,Alluvial Soil,Maize
45,22,30,5.6,82,23,1405,805,Howrah,Alluvial Soil,Maize
55,28,40,6.3,75,27,1805,1055,Howrah,Alluvial Soil,Maize
51,25,36,6,79,25,1615,915,Howrah,Alluvial Soil,Maize
31,15,23,5.8,80,24,1310,410,Howrah,Alluvial Soil,Pulses
29,14,21,5.6,82,23,1210,390,Howrah,Alluvial Soil,Pulses
33,16,25,6.1,77,26,1410,460,Howrah,Alluvial Soil,Pulses
27,13,19,5.5,83,22,1110,360,Howrah,Alluvial Soil,Pulses
36,18,29,6.3,75,27,1510,510,Howrah,Alluvial Soil,Pulses
30,15,22,5.7,80,24,1305,405,Howrah,Alluvial Soil,Pulses
28,14,20,5.5,82,23,1205,385,Howrah,Alluvial Soil,Pulses
32,16,24,6,77,26,1405,455,Howrah,Alluvial Soil,Pulses
26,13,18,5.4,83,22,1105,355,Howrah,Alluvial Soil,Pulses
35,18,28,6.2,75,27,1505,505,Howrah,Alluvial Soil,Pulses
31,15,23,5.8,80,24,1315,415,Howrah,Alluvial Soil,Pulses
41,20,31,5.6,81,23,1210,510,Howrah,Alluvial Soil,Mustard
39,19,29,5.7,80,24,1310,490,Howrah,Alluvial Soil,Mustard
43,21,33,5.9,78,25,1410,560,Howrah,Alluvial Soil,Mustard
37,18,27,5.4,82,22,1110,460,Howrah,Alluvial Soil,Mustard
46,22,36,6.1,77,26,1510,610,Howrah,Alluvial Soil,Mustard
40,20,30,5.5,81,23,1205,505,Howrah,Alluvial Soil,Mustard
38,19,28,5.6,80,24,1305,485,Howrah,Alluvial Soil,Mustard
42,21,32,5.8,78,25,1405,555,Howrah,Alluvial Soil,Mustard
36,18,26,5.3,82,22,1105,455,Howrah,Alluvial Soil,Mustard
45,22,35,6,77,26,1505,605,Howrah,Alluvial Soil,Mustard
41,20,31,5.6,81,23,1215,515,Howrah,Alluvial Soil,Mustard
39,19,29,5.7,80,24,1315,495,Howrah,Alluvial Soil,Mustard
43,21,33,5.9,78,25,1415,565,Howrah,Alluvial Soil,Mustard
37,18,27,5.4,82,22,1115,465,Howrah,Alluvial Soil,Mustard
46,22,36,6.1,77,26,1515,615,Howrah,Alluvial Soil,Mustard
40,20,30,5.5,81,23,1210,510,Howrah,Alluvial Soil,Mustard
38,19,28,5.6,80,24,1310,490,Howrah,Alluvial Soil,Mustard
42,21,32,5.8,78,25,1410,560,Howrah,Alluvial Soil,Mustard
36,18,26,5.3,82,22,1110,460,Howrah,Alluvial Soil,Mustard
45,22,35,6,77,26,1510,610,Howrah,Alluvial Soil,Mustard
41,20,31,5.6,81,23,1215,515,Howrah,Alluvial Soil,Mustard
